project,role,tool_ids
electronics_research_bundle,"Foundation study: power electronics, embedded Linux, lab discipline","T06,T10,T12,T14"
air_gapped_8mb_module_research_pack,Offline cartridge architecture and integrity model,"T01,T02,T03,T04,T05,T07,T12"
airgap8mb_cad_implementation_bundle,EVT implementation for cartridge PCB/enclosure/firmware,"T01,T04,T05,T07,T12,T13"
drone_cad_implementation_bundle,Flight-controller EVT and tether validation,"T01,T03,T05,T08,T09,T10,T12,T14"
pupper_v3_open_source_research_bundle,Quadruped robot kit/productization study,"T01,T03,T05,T08,T09,T10,T11,T12"
farmbot_open_source_research_bundle,Agriculture gantry robot and tool ecosystem,"T01,T03,T04,T05,T08,T09,T11,T13"
openflexure_microscope_research_bundle,Lab microscope and precision positioning platform,"T01,T03,T04,T08,T11,T12,T14"
satnogs_ground_station_research_bundle,Receive-only satellite ground-station learning appliance,"T01,T03,T05,T08,T10,T11,T13,T14"
voron_3d_printer_engineering_bundle,CoreXY 3D printer engineering and kit QA,"T01,T02,T03,T05,T08,T09,T10,T12,T13"
openevse_research_bundle,Open EVSE charger platform and safety split,"T01,T03,T05,T09,T10,T11,T12,T14"
openmv_openipc_local_vision_bundle,Local-first camera/vision appliance stack,"T01,T03,T05,T08,T11,T12,T14"
riscv_edge_beaglev_fire_milkv_duo_bundle,"RISC-V edge compute, FPGA, AIoT, embedded Linux","T01,T03,T05,T07,T08,T10,T11,T12,T14"
precious_plastic_machine_ecosystem_bundle,Plastic recycling and small manufacturing machines,"T01,T02,T03,T04,T05,T09,T10,T12,T13,T14"
nasa_jpl_rover_openamrobot_research_bundle,Rover mechanics plus ROS2 AMR stack,"T01,T03,T04,T05,T08,T09,T10,T11,T12,T14"
