id,project,role,use,hazards,gate
P01,Electronics research bundle,Foundation study bundle for SiC MOSFETs and embedded Linux,Separate learning claims from production-safe claims before translating theory into hardware.,"High voltage, fast switching, thermal stress, layout parasitics, shock/fire risk","No powered prototype claim without schematic, BOM, derating calculation, test plan, and qualified review."
P02,Air-gapped 8MB module research pack,Offline storage cartridge architecture,"Track corruption, brownout, level-shift, flash-write and data-integrity hazards.","Silent corruption, partial writes, floating flash pins, brownout, wrong voltage rails",No trusted storage claim until power-loss and dual-manifest recovery tests pass.
P03,Air-gapped 8MB CAD implementation bundle,EVT-style cartridge PCB/enclosure implementation,"Block fabrication release until ERC/DRC, flash bus, USB power, and enclosure safety are reviewed.","Prototype Gerbers, unverified footprints, USB serial misuse, 5V/3.3V damage",No PCB order using preliminary outputs; regenerate after netlist/footprint/electrical review.
P04,Drone CAD implementation bundle,Bounded flight-controller EVT platform,Separate bench/tethered test evidence from real-flight readiness.,"Propellers, LiPo, motor arming, RF link loss, IMU calibration errors, uncontrolled flight","No untethered flight until arming, failsafe, geofence, RF, battery, and no-prop tests pass."
P05,Pupper V3 open-source research bundle,Quadruped robotics research/productization study,"Control leg torque, battery risk, E-stop, gait safety, and low-voltage conditions.","Pinch/contact hazards, motor torque, falls, hot actuators, battery undervoltage",No walking test unless robot is on blocks first and E-stop/torque limits are verified.
P06,FarmBot open-source research bundle,Agriculture automation gantry ecosystem,"Control outdoor power, moving axes, toolheads, irrigation and field operation risks.","Moving gantry, belts, water near electronics, outdoor weather, toolhead collision","No field deployment without weatherproofing, cable routing, endstops, E-stop and safe tool rules."
P07,OpenFlexure Microscope research bundle,Open-source lab microscope and precision positioning platform,Prevent false measurement confidence and unsupported medical/diagnostic claims.,"Optical miscalibration, contamination, sample mishandling, incorrect diagnostic interpretation","No diagnostic claim without calibrated optics, reference sample, repeatability evidence and regulatory review."
P08,SatNOGS satellite ground-station research bundle,Receive-only satellite ground-station learning platform,"Define RF, mast, grounding, weather and receive-vs-transmit compliance boundaries.","Mast fall, lightning, outdoor cable ingress, rotator pinch, spectrum-law violation","No transmit or high mast deployment without local RF permission, grounding and mechanical review."
P09,Voron 3D printer engineering bundle,High-performance open-source printer engineering study,"Control heaters, mains/24V wiring, chamber heat, motion and print-farm safety.","Hotend/bed burns, thermal runaway, chamber heat, moving gantry, mains wiring","No unattended printing until thermal runaway, wiring, grounding, fusing and chamber temperature tests pass."
P10,OpenEVSE research bundle,Open EV charging hardware/software platform,Treat all EVSE work as mains/safety-critical; block uncertified charger claims.,"Mains voltage, ground faults, stuck relay, GFCI failure, enclosure heat, EV standards noncompliance","No live EV charging product without certified design review, GFCI/ground/relay tests and applicable approvals."
P11,OpenMV + OpenIPC local vision bundle,Local-first camera/vision appliance stack,"Control privacy, firmware provenance, camera flashing, credential and network exposure risks.","Video leakage, exposed credentials, bricked camera, unsafe surveillance use","No deployment until local-only data path, password rotation, firmware hash and privacy notice are verified."
P12,BeagleV-Fire / Milk-V Duo RISC-V edge bundle,"RISC-V edge compute, FPGA and embedded Linux platform","Track firmware-image provenance, thermal/power limits, network services and peripheral-voltage risks.","Brownout, thermal throttling, untrusted images, FPGA/toolchain assumptions, exposed services","No field image until boot source, hashes, services, GPIO voltage and thermal evidence are recorded."
P13,Precious Plastic machine ecosystem bundle,Plastic recycling and small manufacturing machine ecosystem,"Control blades, heaters, torque, fumes, mains/VFDs, guarding, and workshop safety.","Shredder blades, high torque, pinch points, hot barrels, fumes, VFD/mains wiring","No public workshop use without guards, E-stop, ventilation, electrical review and operator checklist."
P14,NASA JPL Rover / OpenAMRobot research bundle,Rover mechanics plus modern ROS2 AMR robot stack,"Control battery, mobile robot, motor, E-stop, brownout and public-area safety hazards.","No battery fuse/disconnect in OpenAMRobot status, moving wheels, Pi brownout, software-only E-stop","No mobile operation around people until physical E-stop, fuse/disconnect, speed limits and stop tests pass."
