id,name,filename,role,done_work,key_finding,safety_finding,limitation,production_use,key_production_part,included_in_archive,sha256,size_bytes
1,Electronics research bundle,electronics_research_bundle.zip,"Foundation study bundle for electronics, SiC MOSFETs, and embedded Linux.","Combined two technical reports into one downloadable bundle: SiC MOSFET Basics and Embedded Linux Engineering Report, with a README for navigation.","This is a learning/research bundle, not a product bundle. It supports the electronics foundation: power-device behavior, embedded Linux architecture, boot chain, kernel/userspace, drivers, and deployment logic.","SiC MOSFET work is high-risk when moved from theory to hardware because fast switching, high voltage, high dV/dt, thermal design, gate-drive mistakes, and layout parasitics can destroy parts or create shock/fire hazards.","No schematics, KiCad files, BOM, PCB, test jig, or CAD assets are included. It is source study material only.",learning pack → lab standard → design checklist,"future power boards, embedded Linux boards, lab fixtures",True,4368b952dfca124edb7951cc0f795501f19b59c5806f8d562003ccd0926a99fc,25997
2,Air-gapped 8MB module research pack,air_gapped_8mb_module_research_pack.zip,"Architecture research for offline cartridge, manifest, local-first storage, and integrity.","Created a deep research pack for the ATmega328P + W25Q64 8MB SPI NOR cartridge concept. Included architecture, firmware protocol, manifest/integrity model, power-tree and level-shifting notes, BOM freeze, KiCad requirements, PCBA test plan, threat model, validation plan, schemas, cost model, compliance checklist, and enclosure DFM notes.","The module is feasible as an offline storage cartridge / manifest token / rule asset holder / integrity-checked local state anchor, but not as a modern AI/LLM compute device. The 8MB flash is useful for manifests, logs, policies, rule tables, receipts, and firmware assets.","The main engineering risk is silent data corruption from brownout, partial writes, floating flash control pins, level-shifting mistakes, and unsafe commit logic.","This research pack is not a fabrication package. It does not contain finished KiCad schematics, verified Gerbers, or enclosure STEP files.",concept → cartridge protocol → offline hardware module,"8MB cartridge, reader board, manifest firmware",True,9e3aa6009d51e579d2dd761142a23f1cbca5a8c74552585dcd7e2c6086584032,37778
3,Air-gapped 8MB CAD implementation bundle,airgap8mb_cad_implementation_bundle.zip,First EVT/CAD implementation of the 8MB module.,"Created an EVT-style CAD/implementation bundle with preliminary KiCad project files, schematic placeholder, PCB layout, Gerber-like manufacturing outputs, drill file, BOM CSV, firmware scaffold, host validation tool, storage protocol, OpenSCAD enclosure, STL/STEP reference envelopes, DFM checklist, EVT test plan, PCBA test plan, cartridge manifest schema, and risk register.","Prototype planning can start from this bundle, but it is not ready for commercial production. It frames the device as a physical offline storage cartridge with deterministic flash-object handling.","The design must protect against power-loss corruption, 5V/3.3V interface mistakes, incorrect flash writes, USB serial misuse, and brownout during manifest update.","The Gerbers and STEP files are preliminary/reference outputs, not KiCad-verified or CAD-manufacturing-certified. Do not send them directly to a PCB factory without ERC/DRC, footprint validation, supplier review, and regenerated outputs.",EVT prototype → KiCad correction → test fixture → supplier-ready rev,"PCB, enclosure, firmware, fixture",True,c761ddf3a66e65ccf18ad0bba8fd1db6f96a7d04b8b9c4434c39759546ee7d78,41210
4,Drone CAD implementation bundle,drone_cad_implementation_bundle.zip,Bounded drone flight-controller EVT platform.,"Created a drone flight-controller EVT bundle with preliminary KiCad files, Gerber-like outputs, drill file, STM32-based FC architecture, IMU/barometer/flash/USB/SWD/UART/ESC net contract, firmware bring-up scaffold, blackbox flash protocol, target manifest, enclosure/frame OpenSCAD, STL/STEP reference files, India drone-rule notes, DFM checklist, tether-test plan, EVT bench-test plan, schemas, BOM, cost model, and validation tooling.",The safe first product is not a complete autonomous drone; it is a flight-controller module + logging + validation fixture + tethered test platform.,"Untethered flight is not safe from this bundle. Propellers, LiPo batteries, failsafe behavior, IMU calibration, ESC behavior, RF link loss, and motor arming logic must be validated before any real flight.","The board files are preliminary and not factory-ready. It does not provide a flight-certified product, finished ESC design, RF system, GPS/autonomy stack, or regulatory-compliant drone.",flight-controller research → tethered validation → drone electronics platform,"FC PCB, firmware, tether fixture, motor-safety state machine",True,a737bc7c994c6ef5694ad680a248c748f2f0fc07072d84a20763785e193764c5,42948
5,Pupper V3 open-source research bundle,pupper_v3_open_source_research_bundle.zip,Open-source quadruped robot research and productization study.,"Created a Pupper V3 research bundle with deep report, official docs summary, Pupper V3 monorepo summary, older StanfordQuadruped summary, architecture maps, BOM/CAD intake plan, build/validation plan, productization strategy, prior-work integration, next-phase tasks, source manifest, evidence table, bibliography, and original Instagram context image. It also bundled prior generated 8MB/drone ZIPs for cross-project continuity.",The older StanfordQuadruped repo points to Pupper v1 as end-of-life and describes Pupper V3 as the current direction; the current software authority is the Pupper V3 monorepo and ROS2 workspace. The neural controller is built around real-time ROS2 control and avoids Torch-style runtime latency/jitter in the control loop.,"Pupper has real moving legs, torque, pinch/contact hazards, motor heating, battery risk, and E-stop requirements. It also needs careful battery-voltage monitoring because the operating docs noted no hardware low-voltage cutoff in the prior research pass.","The bundle does not embed official CAD, PCB manufacturing files, BOM spreadsheets, Onshape/Fusion exports, or kit supplier assets. Those must be downloaded directly from official sources and pinned by version/hash.",robot kit research → safe quadruped build process → local service/education platform,"power system, leg actuator safety, calibration workflow",True,44222fba357613f6f7dac4a7ef50d5246d74acc1e7154cf9febee068e051b8ea,328187
6,FarmBot open-source research bundle,farmbot_open_source_research_bundle.zip,"Agriculture automation, CNC-style gantry, electronics, firmware, web app, and tool ecosystem.","Created a FarmBot bundle with deep research report, architecture map, GitHub repository map, CAD/BOM/manufacturing intake plan, software stack analysis, LogicHub/GN8R tasks, risk register, licensing/commercialization notes, validation plan, India productization strategy, prior-project alignment, source manifest, JSON schema, graph seed, and README.","FarmBot is one of the strongest wide-domain open-source hardware/software products because it joins mechanics, electronics, firmware, web app, APIs, agriculture automation, and commercial open-source positioning in one ecosystem.","The machine combines outdoor power, moving gantry axes, belts, water/irrigation, tools, and user-accessible garden operation. Any India-local version needs electrical isolation, cable routing, weatherproofing, emergency stop, stall detection, and safe toolhead rules.","Official CAD exports, full production drawings, live BOM, and fabrication files were not embedded. The bundle is a source-intake/research package, not a verified fabrication archive.",agricultural robot → field kit → serviceable MSME product,"outdoor electronics box, toolhead dock, gantry safety, service app",True,a87012f67d79b8ec534c355d4c452396a06d67099c1413d48cc6cb71acb724b7,19963
7,OpenFlexure Microscope research bundle,openflexure_microscope_research_bundle.zip,Open-source lab microscope and precision positioning platform.,"Created an OpenFlexure bundle with deep research report, system architecture map, source/repository map, CAD/BOM/manufacturing intake plan, software/API analysis, optics/mechanics/electronics analysis, LogicHub/GN8R tasks, risk register, licensing/commercial/regulatory notes, validation test plan, India productization strategy, prior-project alignment, source manifest, file hashes, JSON schemas, graph seed, Python validation receipt scaffold, and source-intake hash script.","OpenFlexure is a strong lab-hardware target because it combines 3D-printed precision mechanics, optics, Raspberry Pi control, microscope software, and reproducible scientific-instrument documentation.","The biggest risk is not high-force mechanical danger; it is false measurement confidence. Optical calibration, stage accuracy, illumination, sample handling, contamination, and diagnostic claims must be controlled.",It is not automatically a medical or diagnostic product. The bundle does not embed official STL/source ZIPs or SD-card images; those must be pulled from OpenFlexure’s official build/documentation sources and hashed.,lab instrument → validated education/lab kit → calibration service,"optics calibration, stage validation, sample interface, local software",True,2a731647de578b185734eca5634676e971c94765bffb9d8ac23a36dd66685c8b,32046
8,SatNOGS satellite ground-station research bundle,satnogs_ground_station_research_bundle.zip,"Open satellite ground-station stack: antenna, SDR, Linux station, observation workflow.","Created a SatNOGS bundle with deep research report, architecture map, repository map, RF hardware/CAD/BOM intake plan, software stack analysis, validation plan, India regulatory/safety notes, risk register, commercialization strategy, prior-project alignment, license/contribution notes, bibliography, reference BOM, CAD-intake folder, graph seed, observation receipt schema, station config schema, source manifest schema, RTL-SDR smoke-test script, hashing script, observation-receipt validator, and GN8R tasks.","The best first product is a receive-only fixed SatNOGS learning station, not a transmit station or rotator-first product. This keeps RF/legal risk lower and validates antenna, SDR, Linux service, observation workflow, and station evidence first.","RF transmit capability, mast/antenna mounting, lightning protection, outdoor cabling, rotator pinch/load risk, and local spectrum rules matter. Receive-only is safer, but still needs grounding and weatherproofing.","No official SatNOGS CAD, rotator files, firmware images, station images, or manufacturing files are embedded. The bundle is a research/intake package.",receive-only learning station → RF education kit → observatory appliance,"antenna/SDR box, rotator fixture, grounding/weather enclosure",True,4c421c8d7d5b5f5f62f1d2f048af64576a329031ef46e7e97160e9db5e550219,28095
9,Voron 3D printer engineering bundle,voron_3d_printer_engineering_bundle.zip,High-performance open-source 3D printer engineering and kit/productization study.,"Created a Voron bundle with deep research report, printer-family architecture map, source/repository map, CAD/STL/BOM/manual/config intake plan, Klipper software/firmware stack analysis, validation and commissioning plan, risk register, GPLv3 commercialization notes, India productization strategy, LogicHub/GN8R tasks, prior-project alignment, source manifest, schemas, relationship graph seed, hashing script, and asset-manifest validator.","The best first engineering target is Voron Trident 300 for serious CoreXY productization study, while Voron 0.2r1 is better for compact/low-cost kit workflow study. Voron Trident’s repo identifies recommended sizes of 250×250×250, 300×300×250, and 350×350×250. Voron Zero V0.2r1 is compact, CoreXY, enclosed, 24V bed, Klipper-based, and 120×120×120 build volume.","Voron-class machines involve heaters, hotend, heated bed, enclosed chamber, mains/24V wiring, moving CoreXY gantry, firmware configuration, thermal runaway protection, and printed-part quality.","Official CAD, STL, manuals, panel DXFs, and printer configs were not embedded. Those must be downloaded from official VoronDesign sources and pinned by release/commit.",kit workflow → printer QA → localized manufacturing and service,"power box, heater safety, chamber design, calibration procedure",True,654c3e0a12b9dde6aae6cb0c67edd26363d6d113ba1f4d4bc5e4e0b24a8eb8fa,24974
10,OpenEVSE research bundle,openevse_research_bundle.zip,Open EV charging hardware/software platform.,"Created an OpenEVSE bundle with deep research report, architecture map, repository map, hardware/CAD/BOM intake plan, firmware/software stack analysis, India safety/compliance notes, validation and commissioning plan, risk register, licensing/commercialization notes, LogicHub/GN8R tasks, prior-project alignment, bibliography, source manifest, file hashes, JSON schemas, graph seed, read-only RAPI probe scaffold, HTTP API probe scaffold, validation receipt generator, BOM/test/cost templates.","OpenEVSE has a good architecture split: safety-critical EVSE controller below, ESP32 WiFi/API/MQTT/OCPP/web UI above. The ESP32 firmware README says the gateway communicates with the controller over serial RAPI and serves the web UI locally.","The safety docs list diode check, GFCI self-test, ground monitoring, stuck-relay detection, vent-required detection, and temperature monitoring as controller safety checks. A faulted charger must not be commandable into charging.","This is not a fabrication-ready EV charger. Mains voltage, earth/ground protection, GFCI behavior, relay/contactors, enclosure, thermal behavior, EV standards, and India electrical compliance require qualified engineering review and certification.",EVSE research → certified charger pathway → service platform,"safety controller, GFCI/relay logic, enclosure, test fixture",True,62eec6401ac1dd934d1145c54ceff773b7773b502b3ab5bc96f03de61b8f95b8,32197
