project,where_used,how_used
Electronics research bundle,Lab enclosure discipline,"Use as enclosure checklist for future SiC/power/embedded Linux test fixtures: isolation, airflow, touch-safe covers, label zones."
Air-gapped 8MB module research pack,Cartridge enclosure concept,"Define cartridge shell, reader slot, labels, insertion direction, contact protection, dust control, and handling robustness."
Air-gapped 8MB CAD implementation bundle,EVT cartridge case,"Convert OpenSCAD/slot ideas into wall thickness, bosses, rails, clearance, service openings, and print orientation rules."
Drone CAD implementation bundle,Flight-controller carrier and tether fixture,"Design protective FC case, connector strain relief, IMU vibration isolation, airflow, prop-safe bench/tether enclosure boundaries."
Pupper V3 research bundle,Robot body panels and service covers,"Route battery/service access, protect wiring from leg motion, plan impact covers, ventilation, and E-stop visibility."
FarmBot research bundle,Outdoor electronics/control enclosure,"Apply UV, dust, water, irrigation splash, cable gland, drain/vent, toolhead-dock, and service-panel design rules."
OpenFlexure Microscope bundle,Optics/mechanics housing,"Control stray light, sample access, objective collision, dust, vibration, stage clearance, and repeatable printed-part geometry."
SatNOGS ground-station bundle,Outdoor RF station enclosure,"Weatherproof SDR/Pi box, cable strain relief, antenna feedthroughs, grounding path, thermal venting, and service access."
Voron 3D printer bundle,Printer enclosure/chamber,"Validate panel fit, chamber heat, cable chains, electronics bay ventilation, printed-part softening, service access, and fire-risk separation."
OpenEVSE bundle,EV charger enclosure,"Separate mains/low-voltage zones, strain relief, ingress protection, thermal path, touch-safe covers, relay clearance, and certification-ready labeling."
OpenMV + OpenIPC vision bundle,Camera appliance housing,"Protect lens, set FOV, handle heat, cable routing, privacy indicator, mounting bracket, tamper resistance, and weather options."
BeagleV-Fire / Milk-V Duo bundle,Edge compute carrier enclosure,"Design for SBC airflow, IO access, antenna/camera openings, heatsink clearance, service ports, and EMI/cable discipline."
Precious Plastic ecosystem bundle,Machine guarding and control-box DFM,"Create guards, covers, shields, hopper interfaces, heater covers, service panels, fume/airflow boundaries, and warning labels."
NASA JPL Rover / OpenAMRobot bundle,Mobile robot chassis/enclosure,"Protect battery, fuse, E-stop, sensors, LiDAR, camera, motor drivers, wiring harness, bumpers, and docking geometry."
