tool,production_tool,use_when,how_used,production_part,html_file,scope
T01,Power Standardization & Protection,"Any board, module, robot, charger, camera, printer, or machine needs safe power input","USB-C, barrel jack, battery input, reverse-polarity protection, fuse, TVS, power-path, current budget","PCB, wiring harness, power board, battery interface",tool-01-power-standardization-protection.html,"USB-C, battery, fuse, reverse protection, power tree"
T02,Tactile Determinism / Input FSM,"User presses button, turns knob, inserts cartridge, toggles E-stop, selects mode","Hardware/software debounce, interrupt FSM, long-press, double-press, rotary encoder state handling","UI board, control panel, cartridge reader, robot operator panel",tool-02-tactile-determinism-input-fsm.html,"Buttons, encoders, E-stop input, debounce, interrupt FSM"
T03,State Visibility & Offline Telemetry,Device must explain state without cloud dashboard,"OLED, TFT, RGB LED, buzzer, local log, error code, status pattern","Local UI, maintenance screen, commissioning display",tool-03-state-visibility-offline-telemetry.html,"OLED, LEDs, buzzer, local logs, state codes"
T04,Physical Interface Geometry / Poka-yoke Docking,"User inserts cartridge, toolhead, module, sensor, panel, dock, cable, or mechanical part","Keyed slot, asymmetric rail, labelled connector, guide funnel, chamfer, captive fastener","Enclosure, connector, fixture, cartridge slot, docking station",tool-04-poka-yoke-interface-geometry.html,"Cartridge slot, docking, keyed connectors, guide rails"
T05,Fault Tolerance & Fallbacks,"Firmware, bus, sensor, flash, network, or motor process may hang/fail","Watchdog timer, SPI/I2C timeout, safe reset, fault state, last-known-good config","Firmware, boot logic, bus drivers, error display",tool-05-fault-tolerance-fallbacks.html,"Watchdog, SPI/I2C timeout, safe reset, fault display"
T06,Source Manifest + BOM/CAD Hash Intake,Any open-source project is turned into production evidence,"Hash every CAD/BOM/firmware/manual file, record source URL, version, license, owner","LogicHub intake, manufacturing release, revision control",tool-06-source-manifest-bom-cad-intake.html,"Hashing, manifest, license, CAD/BOM source tracking"
T07,Storage Integrity + Transactional Updates,"Device stores manifests, logs, firmware, rule files, G-code, calibration, or receipts","CRC/SHA, dual manifest, rollback, atomic commit, wear/error logging","Cartridge, flash memory, SD/eMMC storage, config persistence",tool-07-storage-integrity-transactional-updates.html,"CRC/SHA, dual manifest, rollback, flash layout"
T08,Sensor Calibration + Health Evidence,"Device depends on IMU, camera, LiDAR, microscope optics, RF, encoder, temperature, current, or voltage","Calibration routine, baseline capture, drift check, self-test, evidence receipt","Test station, commissioning workflow, field service",tool-08-sensor-calibration-health-evidence.html,"IMU, camera, LiDAR, optics, RF, encoder calibration"
T09,Actuator / Motor / Heater Safety Interlock,"Motors, heaters, relays, blades, gantries, drones, robot wheels, chargers, or hotends are involved","Arm/disarm state, relay lockout, heater watchdog, physical E-stop, motor inhibit","Motion controller, heater controller, EVSE controller, machine control",tool-09-actuator-motor-heater-safety.html,"Motors, heaters, relays, gantry, E-stop, arm/disarm"
T10,Thermal / Current / Power Derating,"Device can overheat, brown out, overload, or melt enclosure","Current limit, thermal throttle, fuse sizing, heatsink margin, battery runtime model","Power system, enclosure, motor system, charger, printer, edge board",tool-10-thermal-current-power-derating.html,"Heat, current, runtime, regulator, chamber, battery"
T11,Local API / Edge Service Interface,Hardware needs local control without cloud dependency,"HTTP, WebSocket, MQTT, serial, USB, BLE, local dashboard, service shell","Operator app, maintenance app, local-first UI, firmware bridge",tool-11-local-api-edge-service-interface.html,"HTTP, MQTT, serial, WebSocket, local-first dashboard"
T12,Manufacturing QA Fixture + Test Receipts,Prototype becomes repeatable build or saleable kit,"Fixture script, probe test, continuity check, calibration receipt, pass/fail JSON","PCBA test, assembly line, commissioning, supplier acceptance",tool-12-manufacturing-qa-fixture-receipts.html,"PCBA tests, commissioning, supplier acceptance"
T13,Enclosure / Environmental DFM,"Device must survive handling, heat, dust, water, vibration, outdoor use, lab use, or kids/users","Wall thickness, bosses, airflow, cable strain relief, gasket, service access","3D print, injection-moulded case, machine frame, control box",tool-13-enclosure-environmental-dfm.html,"3D print, injection moulding, guards, weatherproofing"
T14,Compliance / Safety Risk Ledger,"Product may touch mains, battery, RF, medical/lab use, robotics, EV charging, public operation, or industrial machines","Standards map, hazard log, waiver ledger, certification readiness, blocked claims","Productization, India launch, supplier review, legal/compliance gate",tool-14-compliance-safety-risk-ledger.html,"Product safety, India compliance, blocked claims, waivers"
