id,project,role,use_when,how,production_part,priority
P01,Electronics research bundle,"Foundation study bundle for electronics, SiC MOSFETs, and embedded Linux.",A future board or Linux device needs a clean service model before hardware/software split is frozen.,"Use embedded Linux concepts to design a minimal local service: /health, /version, /logs, /config, /diagnostics. Treat this as a lab standard before implementing on real boards.","Embedded Linux boards, lab fixtures, power-board diagnostics.",Medium
P02,Air-gapped 8MB module research pack,"Offline cartridge architecture, manifest, local-first storage, and integrity.","The cartridge reader must expose status, verify/commit actions, and error receipts to the host without cloud dependency.","Expose a serial/USB local protocol for cartridge_inserted, manifest_verified, commit_started, commit_done, rollback, and fault states. Provide JSON receipts for every read/write/verify cycle.","Cartridge reader service, host validator, local maintenance UI.",High
P03,Air-gapped 8MB CAD implementation bundle,First EVT/CAD implementation of the 8MB module.,The prototype needs a PC test utility or browser-facing local service for bench validation.,"Map firmware serial commands to a small local API and generate validation receipts: flash_id, read_verify, write_verify, power_loss_recovery.","PCBA test service, fixture app, cartridge service bridge.",High
P04,Drone CAD implementation bundle,Bounded drone flight-controller EVT platform.,The flight controller needs safe local diagnostics before any tethered or powered motor test.,"Expose read-only health endpoints first: imu_state, barometer_state, flash_log_state, arming_state, battery_state. Keep motor/arming commands behind a physical-safe gate.","Ground test dashboard, tether-test service, blackbox log extractor.",High
P05,Pupper V3 open-source research bundle,Open-source quadruped robot research and productization study.,"The robot needs local operation, gait state visibility, calibration, and service diagnostics.","Bridge ROS2 topics/services into a local dashboard with strict command permissions: observe, calibrate, enable torque, safe pose, walk mode, emergency stop.","ROS2 service UI, field maintenance interface, education dashboard.",High
P06,FarmBot open-source research bundle,"Agriculture automation, CNC-style gantry, electronics, firmware, web app, and tool ecosystem.",A farm-side system must keep working with poor internet or no cloud access.,"Provide local queue, axis status, tool status, water state, job receipt, manual jog, stop command, and offline sync boundary.","Local farm controller, maintenance app, toolhead service interface.",High
P07,OpenFlexure Microscope research bundle,Open-source lab microscope and precision positioning platform.,"The microscope must expose capture, focus, illumination, stage movement, and calibration locally.","Use local HTTP/API commands for image capture, focus sweep, stage move, illumination level, objective profile, and calibration receipt export.","Microscope local server, calibration dashboard, lab evidence API.",High
P08,SatNOGS satellite ground-station research bundle,"Open satellite ground-station stack: antenna, SDR, Linux station, observation workflow.","The station must be monitored locally for RF chain, observations, scheduler, disk, network, and rotator state.","Expose local status page and API for sdr_detected, antenna_profile, observation_active, last_pass, decode_status, storage_free, and fault history.","Ground-station dashboard, RF commissioning service, observation receipt generator.",High
P09,Voron 3D printer engineering bundle,High-performance open-source 3D printer engineering and kit/productization study.,"A printer kit needs local control, status, and calibration without depending on remote services.","Treat Moonraker/Klipper-like local API surfaces as the pattern: printer_state, heaters, bed_mesh, print_job, emergency_stop, config snapshot, first-print receipt.","Printer local UI, commissioning dashboard, service workflow.",High
P10,OpenEVSE research bundle,Open EV charging hardware/software platform.,"The charger needs local status, diagnostics, and integration while never allowing unsafe remote enablement.","Use a strict safety hierarchy: local API may request charging settings, but the safety controller owns diode/GFCI/ground/stuck relay/temp fault decisions. Expose RAPI/MQTT/HTTP read-only status first.","EVSE local dashboard, commissioning probe, charge log service.",Critical
P11,OpenMV + OpenIPC local vision bundle,Local-first camera/vision appliance stack.,"A vision product needs video, events, model thresholds, and privacy state without cloud dependency.","Expose RTSP/HTTP/snapshot/event endpoints plus privacy controls, local-only mode indicator, camera health, model version, and storage retention settings.","Camera appliance UI, local AI event bridge, privacy evidence API.",High
P12,BeagleV-Fire / Milk-V Duo RISC-V edge bundle,"RISC-V edge computing, FPGA, AIoT, embedded Linux, deterministic IO.","An edge board becomes a gateway, accelerator, or deterministic IO node.","Create a board agent with /health, /temperature, /gpio, /camera, /fpga, /benchmark, /update_status, and signed local evidence receipts.","Edge service daemon, local web UI, factory validation endpoint.",High
P13,Precious Plastic machine ecosystem bundle,Plastic recycling and small manufacturing machine ecosystem.,"A machine control box needs local recipes, cycle state, heater/motor telemetry, and guarded commands.","Expose recipe view, temperature status, cycle counters, fault history, guard state, maintenance timers, and receipt export. Gate start/reverse/heater commands behind physical interlocks.","Machine HMI, workshop dashboard, process-run logger.",Critical
P14,NASA JPL Rover / OpenAMRobot research bundle,Rover mechanics plus modern AMR/ROS2 robot stack.,"A mobile robot needs local operation, diagnostics, route/docking state, and safe command control.","Bridge ROS2/Nav2/micro-ROS into a local UI with health topics, pose/map state, wheel/encoder diagnostics, E-stop state, docking result, and commissioning receipts.","AMR local operator dashboard, docking validation app, field service tool.",Critical
