project_id,project_name,tool,where_used,how
1,Electronics research bundle,T06 Source Manifest,Research-to-build transition,Convert reports into traceable source ledger before using them for hardware design
1,Electronics research bundle,T10 Thermal/Power Derating,SiC/power electronics learning,Build derating discipline before high-voltage or high-speed switching work
1,Electronics research bundle,T12 QA Fixture,Lab exercises,Turn theory into repeatable bench tests
1,Electronics research bundle,T14 Risk Ledger,Any derived hardware project,Separate learning claims from production-safe claims
2,Air-gapped 8MB module research pack,T01 Power Protection,Cartridge reader board,USB-C or protected 5V/3.3V power input
2,Air-gapped 8MB module research pack,T02 Input FSM,Load/verify/commit button,Deterministic button behavior for cartridge operations
2,Air-gapped 8MB module research pack,T03 Offline Telemetry,OLED/RGB status,"Show cartridge loaded, verify, commit, error, rollback"
2,Air-gapped 8MB module research pack,T04 Poka-yoke Docking,Cartridge slot,Prevent upside-down or misaligned insertion
2,Air-gapped 8MB module research pack,T05 Fault Fallbacks,SPI NOR read/write,"Timeouts, watchdog reset, readable error state"
2,Air-gapped 8MB module research pack,T07 Storage Integrity,Flash object store,"Dual manifest, CRC/SHA, atomic commit"
2,Air-gapped 8MB module research pack,T12 QA Fixture,Cartridge validation,Test read/write/verify/power-loss recovery
3,Air-gapped 8MB CAD implementation bundle,T01 Power Protection,PCB input and flash rails,Validate 5V/3.3V conversion and reverse protection
3,Air-gapped 8MB CAD implementation bundle,T04 Poka-yoke Docking,Enclosure and slot,Create foolproof cartridge insertion geometry
3,Air-gapped 8MB CAD implementation bundle,T05 Fault Fallbacks,Firmware scaffold,Watchdog + SPI error display
3,Air-gapped 8MB CAD implementation bundle,T07 Storage Integrity,NOR flash firmware,Atomic object-store layout
3,Air-gapped 8MB CAD implementation bundle,T12 QA Fixture,PCBA test,"Continuity, flash ID, write/read/verify receipt"
3,Air-gapped 8MB CAD implementation bundle,T13 Enclosure DFM,Cartridge case,"Snap fit, guide rails, service access"
4,Drone CAD implementation bundle,T01 Power Protection,FC power input,"Protected 5V/3.3V rails, brownout checks"
4,Drone CAD implementation bundle,T03 Offline Telemetry,LEDs/buzzer/OLED,"Armed, disarmed, fault, IMU fail, logging states"
4,Drone CAD implementation bundle,T05 Fault Fallbacks,Sensor and flash handling,"Watchdog, IMU timeout, blackbox flash fault"
4,Drone CAD implementation bundle,T08 Sensor Calibration,IMU/barometer,Calibration receipt before motor arming
4,Drone CAD implementation bundle,T09 Motor Safety,ESC outputs,"Arm gate, failsafe, motor inhibit"
4,Drone CAD implementation bundle,T10 Thermal/Power,LiPo/ESC/motor current,Runtime and thermal safety margins
4,Drone CAD implementation bundle,T12 QA Fixture,Tether and bench test,"No-prop test, signal test, IMU drift test"
